City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,date
Sirajganj,0,BD,1611872721,60,24.45,89.7167,61.29,10.33,2021-01-28 22:25:21
Moerai,92,PF,1611872721,75,-22.4333,-151.3333,81.09,15.61,2021-01-28 22:25:21
Moa,0,CU,1611872721,65,20.6569,-74.9403,77.25,9.4,2021-01-28 22:25:21
Fortuna,90,US,1611872699,100,40.5982,-124.1573,48.99,5.75,2021-01-28 22:24:59
Areosa,75,PT,1611872721,100,41.7178,-8.8571,57.99,10.36,2021-01-28 22:25:21
Brae,66,GB,1611872722,80,60.3964,-1.353,30.2,10.36,2021-01-28 22:25:22
Golden,75,US,1611872722,56,39.7555,-105.2211,50.0,6.91,2021-01-28 22:25:22
Nabire,100,ID,1611872722,91,-3.3667,135.4833,75.76,1.16,2021-01-28 22:25:22
Itarema,98,BR,1611872722,78,-2.9248,-39.9167,80.06,14.85,2021-01-28 22:25:22
Luebo,100,CD,1611872723,95,-5.35,21.4167,70.7,0.83,2021-01-28 22:25:23
Calvinia,0,ZA,1611872723,38,-31.4707,19.776,62.89,3.47,2021-01-28 22:25:23
